id_commande;date;heure_de_depart;pickup_lng;pickup_lat;dropoff_lng;dropoff_lat;nbPax;tstype
cmd216;01/01/2013;00:10;-73.961975;40.77652;-73.951828;40.781227;2;pickUpMinDateTime
cmd217;01/01/2013;00:10;-73.977715;40.757754999999996;-73.973885;40.750595000000004;3;pickUpMinDateTime
cmd218;01/01/2013;00:10;-73.994682;40.725883;-73.95573399999999;40.764389;1;pickUpMinDateTime
cmd219;01/01/2013;00:10;-73.989288;40.731628;-73.962448;40.770603;1;pickUpMinDateTime
cmd220;01/01/2013;00:10;-73.982376;40.771557;-73.971222;40.755257;4;pickUpMinDateTime
cmd221;01/01/2013;00:10;-73.982727;40.772163;-74.002724;40.739437;1;pickUpMinDateTime
cmd222;01/01/2013;00:10;-73.975151;40.787449;-73.950562;40.775726;1;pickUpMinDateTime
cmd223;01/01/2013;00:10;-73.972626;40.785973;-73.98571;40.768024;1;pickUpMinDateTime
cmd224;01/01/2013;00:10;-73.98066700000001;40.753754;-73.99182900000001;40.726551;2;pickUpMinDateTime
cmd225;01/01/2013;00:10;-73.946609;40.785109999999996;-73.953644;40.778690000000005;1;pickUpMinDateTime
cmd226;01/01/2013;00:10;-73.993881;40.76181;-73.962952;40.758389;1;pickUpMinDateTime
cmd227;01/01/2013;00:10;-74.009064;40.725941;-74.003349;40.727016;1;pickUpMinDateTime
cmd228;01/01/2013;00:10;-73.96195999999999;40.763884999999995;-73.948654;40.777966;1;pickUpMinDateTime
cmd229;01/01/2013;00:10;-74.002235;40.726463;-73.981491;40.741161;2;pickUpMinDateTime
cmd230;01/01/2013;00:10;-73.984207;40.775546999999996;-73.972183;40.782291;2;pickUpMinDateTime
cmd231;01/01/2013;00:10;-74.001305;40.742466;-73.946297;40.835564;1;pickUpMinDateTime
cmd232;01/01/2013;00:10;-73.983078;40.730564;-73.985474;40.749912;3;pickUpMinDateTime
cmd233;01/01/2013;00:10;-73.927818;40.744457000000004;-73.952736;40.818084999999996;1;pickUpMinDateTime
cmd234;01/01/2013;00:10;-74.000633;40.730717;-73.973267;40.744144;1;pickUpMinDateTime
cmd235;01/01/2013;00:10;-73.994637;40.761466999999996;-73.982086;40.774658;1;pickUpMinDateTime
cmd236;01/01/2013;00:10;-74.005707;40.740093;-73.99940500000001;40.76059;2;pickUpMinDateTime
cmd237;01/01/2013;00:10;-73.95665;40.76812;-73.97890500000001;40.713665;1;pickUpMinDateTime
cmd238;01/01/2013;00:10;-74.003967;40.742256;-73.985382;40.738953;1;pickUpMinDateTime
cmd239;01/01/2013;00:10;-73.994064;40.751244;-73.980011;40.735088;2;pickUpMinDateTime
cmd240;01/01/2013;00:10;-73.97251899999999;40.746582000000004;-73.957626;40.776218;2;pickUpMinDateTime
